gi|56550953|ref|YP_161792.1|
gi|56550955|ref|YP_161794.1|	K00865
gi|283856176|ref|YP_161795.2|
gi|56550957|ref|YP_161796.1|	K01085
gi|56550958|ref|YP_161797.1|
gi|283856177|ref|YP_161799.2|
gi|56550962|ref|YP_161801.1|
gi|56550964|ref|YP_161803.1|	K14026
gi|56550965|ref|YP_161804.1|
gi|283856178|ref|YP_161805.2|	K03675
gi|56550968|ref|YP_161807.1|
gi|56550969|ref|YP_161808.1|	K06189
gi|56550970|ref|YP_161809.1|	K07042
gi|283856179|ref|YP_161810.2|	K06217
gi|56550973|ref|YP_161812.1|	K06168
gi|283856180|ref|YP_161813.2|	K03408
gi|56550975|ref|YP_161814.1|	K03413
gi|283856181|ref|YP_161815.2|	K03411
gi|56550977|ref|YP_161816.1|	K03412
gi|56550978|ref|YP_161817.1|	K00575
gi|56550979|ref|YP_161818.1|	K03407
gi|56550980|ref|YP_161819.1|
gi|56550981|ref|YP_161820.1|	K03406
gi|56550982|ref|YP_161821.1|	K01139
gi|56550983|ref|YP_161822.1|
gi|56550984|ref|YP_161823.1|
gi|56550985|ref|YP_161824.1|
gi|56550986|ref|YP_161825.1|
gi|56550987|ref|YP_161826.1|
gi|56550988|ref|YP_161827.1|
gi|283856182|ref|YP_161829.2|	K01012
gi|56550991|ref|YP_161830.1|
gi|56550992|ref|YP_161831.1|	K00995
gi|56550995|ref|YP_161834.1|	K05939
gi|56550996|ref|YP_161835.1|
gi|56550997|ref|YP_161836.1|
gi|283856183|ref|YP_161837.2|
gi|283856184|ref|YP_161838.2|
gi|56551001|ref|YP_161840.1|	K01703
gi|56551002|ref|YP_161841.1|	K01704
gi|56551003|ref|YP_161842.1|
gi|56551004|ref|YP_161843.1|
gi|56551005|ref|YP_161844.1|
gi|56551006|ref|YP_161845.1|
gi|56551007|ref|YP_161846.1|	K15738
gi|283856185|ref|YP_161847.2|
gi|283856186|ref|YP_161848.2|	K01665
gi|56551010|ref|YP_161849.1|	K01658
gi|283856187|ref|YP_161850.2|	K02619
gi|56551012|ref|YP_161851.1|	K13771
gi|56551013|ref|YP_161852.1|	K00378
gi|283856188|ref|YP_161854.2|	K03313
gi|283856189|ref|YP_161855.2|	K00226
gi|56551017|ref|YP_161856.1|	K07478
gi|283856190|ref|YP_161857.2|
gi|283856191|ref|YP_161859.2|	K06915
gi|56551021|ref|YP_161860.1|
gi|56551023|ref|YP_161862.1|
gi|283856192|ref|YP_161863.2|
gi|56551026|ref|YP_161865.1|	K09474
gi|283856193|ref|YP_161866.2|
gi|56551028|ref|YP_161867.1|
gi|283856194|ref|YP_161868.2|	K07126
gi|56551030|ref|YP_161869.1|	K07126
gi|283856195|ref|YP_161870.2|
gi|56551032|ref|YP_161871.1|
gi|56551033|ref|YP_161872.1|	K07126
gi|283856196|ref|YP_161874.2|
gi|56551036|ref|YP_161875.1|	K01104
gi|283856197|ref|YP_161877.2|	K06997
gi|283856198|ref|YP_161878.2|	K09687
gi|56551040|ref|YP_161879.1|	K00278
gi|283856199|ref|YP_161880.2|	K01301
gi|56551044|ref|YP_161883.1|
gi|56551045|ref|YP_161884.1|	K03439
gi|56551046|ref|YP_161885.1|
gi|56551048|ref|YP_161887.1|	K00873
gi|56551049|ref|YP_161888.1|
gi|56551050|ref|YP_161889.1|	K01159
gi|56551051|ref|YP_161890.1|	K03550
gi|56551052|ref|YP_161891.1|
gi|56551053|ref|YP_161892.1|	K15919
gi|56551054|ref|YP_161893.1|	K03551
gi|283856200|ref|YP_161895.2|	K07107
gi|283856201|ref|YP_161896.2|	K03562
gi|56551058|ref|YP_161897.1|	K03560
gi|283856202|ref|YP_161899.2|
gi|56551061|ref|YP_161900.1|	K03641
gi|56551062|ref|YP_161901.1|	K03640
gi|56551065|ref|YP_161904.1|
gi|56551066|ref|YP_161905.1|	K01126
gi|56551068|ref|YP_161907.1|	K03147
gi|56551069|ref|YP_161908.1|
gi|56551070|ref|YP_161909.1|
gi|56551071|ref|YP_161910.1|
gi|56551072|ref|YP_161911.1|	K00615
gi|56551073|ref|YP_161912.1|	K00134
gi|56551074|ref|YP_161913.1|	K00927
gi|56551075|ref|YP_161914.1|	K11645
gi|56551076|ref|YP_161915.1|	K03526
gi|56551078|ref|YP_161917.1|	K01251
gi|56551079|ref|YP_161918.1|
gi|56551080|ref|YP_161920.1|
gi|56551082|ref|YP_161921.1|	K01883
gi|56551083|ref|YP_161922.1|	K01626
gi|56551084|ref|YP_161923.1|	K16088
gi|56551085|ref|YP_161924.1|	K01752
gi|56551086|ref|YP_161925.1|
gi|56551087|ref|YP_161926.1|
gi|283856203|ref|YP_161927.2|
